tract_id,city,ml_rank_score,demand_tier,pct_area_ev_permitted,pct_area_commercial,pct_area_industrial,pct_area_residential,dominant_zone_category,feasibility_score,data_confidence,computed_at
39035119702,"CLEVELAND, OH",0.0001,Low,0.0371,0.0371,0.0,0.9629,Residential,0.026,High,2026-03-10T02:42:24.260694+00:00
39035120702,"CLEVELAND, OH",0.0001,Low,0.0779,0.0779,0.0,0.9221,Residential,0.0546,High,2026-03-10T02:39:12.286881+00:00
39035120801,"CLEVELAND, OH",0.0001,Low,0.0262,0.0262,0.0,0.9723,Residential,0.0184,High,2026-03-10T02:39:13.975866+00:00
39035120802,"CLEVELAND, OH",0.0001,Low,0.0699,0.0699,0.0,0.9301,Residential,0.049,High,2026-03-10T02:39:44.183437+00:00
39035121700,"CLEVELAND, OH",0.0001,Low,0.0496,0.0496,0.0,0.9282,Residential,0.0348,High,2026-03-10T02:44:33.004069+00:00
39035121800,"SHAKER HEIGHTS, OH",0.0001,Low,0.0,0.0,0.0,1.0,Residential,0.0,High,2026-03-10T02:32:10.965630+00:00
39035130105,"BAY VILLAGE, OH",0.0001,Low,0.0526,0.0526,0.0,0.9437,Residential,0.0368,High,2026-03-10T02:38:56.124311+00:00
39035140701,"CLEVELAND HEIGHTS, OH",0.0001,Low,0.0414,0.0414,0.0,0.9586,Residential,0.029,High,2026-03-10T02:43:31.185191+00:00
39035140702,"CLEVELAND HEIGHTS, OH",0.0001,Low,0.2175,0.0328,0.0,0.6198,Residential,0.1523,High,2026-03-10T02:40:36.777307+00:00
39035141602,"CLEVELAND HEIGHTS, OH",0.0001,Low,0.165,0.1436,0.0,0.835,Residential,0.1155,High,2026-03-10T02:40:33.779627+00:00
39035152701,"EUCLID, OH",0.0001,Low,0.5399,0.1736,0.3663,0.3398,Industrial,0.3779,High,2026-03-10T02:41:55.695871+00:00
39035160300,"LAKEWOOD, OH",0.0001,Low,0.0655,0.0655,0.0,0.9215,Residential,0.0459,High,2026-03-10T02:26:03.045728+00:00
39035161000,"LAKEWOOD, OH",0.0002,Low,0.1286,0.1286,0.0,0.8714,Residential,0.0901,High,2026-03-10T02:18:01.459252+00:00
39035161500,"LAKEWOOD, OH",0.0001,Low,0.1939,0.0812,0.1127,0.6421,Residential,0.1357,High,2026-03-10T02:32:58.445330+00:00
39035161600,"LAKEWOOD, OH",0.0001,Low,0.1174,0.1174,0.0,0.8826,Residential,0.0822,High,2026-03-10T02:22:05.410437+00:00
39035161900,"LAKEWOOD, OH",0.0001,Low,0.0909,0.0909,0.0,0.3258,Other,0.0636,High,2026-03-10T02:30:06.083751+00:00
39035171206,"MAPLE HEIGHTS, OH",0.0001,Low,0.075,0.075,0.0,0.8926,Residential,0.0525,High,2026-03-10T02:32:54.187949+00:00
39035172101,"LYNDHURST, OH",0.0001,Low,0.0683,0.0683,0.0,0.9317,Residential,0.0478,High,2026-03-10T02:40:19.947065+00:00
39035175109,"NORTH ROYALTON, OH",0.0001,Low,0.0199,0.0199,0.0,0.9415,Residential,0.014,High,2026-03-10T02:38:12.657467+00:00
39035177404,"PARMA, OH",0.0001,Low,0.0111,0.0111,0.0,0.9889,Residential,0.0078,High,2026-03-10T02:41:06.504615+00:00
39035183603,"CLEVELAND, OH",0.0001,Low,0.1673,0.1673,0.0,0.7661,Residential,0.1171,High,2026-03-10T02:38:20.180390+00:00
39035183604,"SHAKER HEIGHTS, OH",0.0001,Low,0.0949,0.0949,0.0,0.9051,Residential,0.0665,High,2026-03-10T02:31:22.451476+00:00
39035183605,"SHAKER HEIGHTS, OH",0.0001,Low,0.1681,0.1681,0.0,0.4587,Residential,0.1177,High,2026-03-10T02:34:45.131934+00:00
39035183606,"SHAKER HEIGHTS, OH",0.0001,Low,0.011,0.011,0.0,0.8924,Residential,0.0078,High,2026-03-10T02:30:07.208975+00:00
39035190503,"NORTH OLMSTED, OH",0.0,Low,0.0074,0.0074,0.0,0.9926,Residential,0.0052,High,2026-03-10T02:45:03.525265+00:00
39095000202,"TOLEDO, OH",0.0006,Low,0.2966,0.0832,0.2134,0.6771,Residential,0.2078,High,2026-03-10T01:47:56.750246+00:00
39095000702,"TOLEDO, OH",0.0006,Low,0.082,0.0682,0.0139,0.918,Residential,0.0576,High,2026-03-10T01:52:08.803578+00:00
39095001001,"TOLEDO, OH",0.0006,Low,0.1007,0.1007,0.0,0.8993,Residential,0.0707,High,2026-03-10T01:48:25.396055+00:00
39095002700,"TOLEDO, OH",0.0023,Low,0.1847,0.0543,0.1304,0.7203,Residential,0.13,High,2026-03-10T01:04:49.789962+00:00
40109980002,"OKLAHOMA CITY, OK",0.0962,Low,0.9556,0.9556,0.0,0.0444,Commercial,0.6978,High,2026-03-10T07:06:34.285320+00:00
40143007518,OK,0.0511,Low,0.0699,0.0699,0.0,0.6462,Residential,0.0642,High,2026-03-09T19:34:13.670353+00:00
40143007608,OK,0.0679,Low,0.1378,0.1282,0.0,0.1472,Other,0.1168,High,2026-03-09T19:03:58.470177+00:00
40143007642,OK,0.0696,Low,0.2805,0.1252,0.0,0.0239,Other,0.2172,High,2026-03-10T07:29:49.836266+00:00
40143009016,"TULSA, OK",0.0548,Low,0.0082,0.0082,0.0,0.3157,Other,0.0222,High,2026-03-09T19:28:49.565708+00:00
40143009018,OK,0.0521,Low,0.1233,0.1233,0.0,0.0961,Other,0.102,High,2026-03-09T19:30:50.597633+00:00
